date,time,eventtype,location,topic,instructor,regtype,moreinfo,moreinfo_link
"Oct 1 - Dec 6, 2023 (Beta Test)",N/A,Curriculum Beta Test,Virtual,"OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4",Self-paced,NASA (Internal Only),N/A,#
"Aug. 25, 2023",N/A,"TOPST Virtual Cohort, Cohort #1",Virtual,"OS101 Module 1, OS101 Module 2, OS101 Module 5, OS101 Module 3, OS101 Module 4","Cameron Riddell, Don't Use This Code (DUTC)",External (TOPST),Register Now,#
"Sept. 29, 2023",N/A,"TOPST Virtual Cohort, Cohort #2",Virtual,"OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 5, OS101 Module 4","Cameron Riddell, Don't Use This Code (DUTC)",External (TOPST),Register Now,#
"Feb. 12, 2024",N/A,"TOPST Virtual Cohort, Cohort #3",Virtual,"OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5","Cameron Riddell, Don't Use This Code (DUTC)",External (TOPST),Register Now,#
"Mar. 15, 2024",N/A,"TOPST Virtual Cohort, Cohort #4",Virtual,"OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5","Cameron Riddell, Don't Use This Code (DUTC)",External (TOPST),Register Now,#
"May. 6, 2024",1:00 PM - 4:00 PM,"Open Science Module 1 Training, JPL Internal","Jet Propulsion Laboratory, 183-328, Pasadena, CA",OS101 Module 1,JPL TOPS Team,JPL (Internal Only),Register Now,https://jetproplab.sumtotal.host/rcore/c/pillarRedirect?isDeepLink=1&relyingParty=LM&url=https%3A%2F%2FJETPROPLAB.sumtotal.host%2Flearning%2Fcore%2Factivitydetails%2FViewActivityDetails%3FUserMode%3D0%26ActivityId%3D125492%26ClassUnderStruct%3DFalse%26CallerUrl%3D%2Flearning%2Flearner%2FHome%2FGoToPortal%3Fkey%3D0%26SearchCallerURL%3Dhttps%253A%252F%252FJETPROPLAB.sumtotal.host%252Fcore%252FsearchRedirect%253FViewType%253DList%2526SearchText%253DOS101%2526startRow%253D0%26SearchCallerID%3D2
"May. 16, 2024",1:00 PM - 4:00 PM (Pacific),"Open Science Module 2 Training, JPL Internal","Jet Propulsion Laboratory, 167-151, Pasadena, CA",OS101 Module 2,JPL TOPS Team,JPL (Internal Only),Register Now,https://jetproplab.sumtotal.host/rcore/c/pillarRedirect?isDeepLink=1&relyingParty=LM&url=https%3A%2F%2FJETPROPLAB.sumtotal.host%2Flearning%2Fcore%2Factivitydetails%2FViewActivityDetails%3FUserMode%3D0%26ActivityId%3D125492%26ClassUnderStruct%3DFalse%26CallerUrl%3D%2Flearning%2Flearner%2FHome%2FGoToPortal%3Fkey%3D0%26SearchCallerURL%3Dhttps%253A%252F%252FJETPROPLAB.sumtotal.host%252Fcore%252FsearchRedirect%253FViewType%253DList%2526SearchText%253DOS101%2526startRow%253D0%26SearchCallerID%3D2
"May. 22, 2024",9:00 AM - 12:00 PM (Pacific),"Open Science Module 3 Training, JPL Internal","Jet Propulsion Laboratory, 167-151, Pasadena, CA",OS101 Module 3,JPL TOPS Team,JPL (Internal Only),Register Now,https://jetproplab.sumtotal.host/rcore/c/pillarRedirect?isDeepLink=1&relyingParty=LM&url=https%3A%2F%2FJETPROPLAB.sumtotal.host%2Flearning%2Fcore%2Factivitydetails%2FViewActivityDetails%3FUserMode%3D0%26ActivityId%3D125492%26ClassUnderStruct%3DFalse%26CallerUrl%3D%2Flearning%2Flearner%2FHome%2FGoToPortal%3Fkey%3D0%26SearchCallerURL%3Dhttps%253A%252F%252FJETPROPLAB.sumtotal.host%252Fcore%252FsearchRedirect%253FViewType%253DList%2526SearchText%253DOS101%2526startRow%253D0%26SearchCallerID%3D2
"May 22, 2024 & May 29, 2024",N/A,"TOPST Virtual Cohort, Cohort #5",Virtual,"OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5","Cameron Riddell, Don't Use This Code (DUTC)",External (TOPST),Register Now,#
"May. 23, 2024",N/A,TOPS Champions Summer Workshop,"Goddard Space Flight Center, Greenbelt, MD",OS101 Module 1,"Goddard TOPS Team: Patricia Castellanos, Yuekui Yang, Michael Studinger, Mike Croteau",NASA (Internal Only),TBD,
"May. 24, 2024",1:00 PM - 4:00 PM (Pacific),"Open Science Module 1 Training, JPL Internal","Jet Propulsion Laboratory, 167-151, Pasadena, CA",OS101 Module 1,JPL TOPS Team,JPL (Internal Only),Register Now,https://jetproplab.sumtotal.host/rcore/c/pillarRedirect?isDeepLink=1&relyingParty=LM&url=https%3A%2F%2FJETPROPLAB.sumtotal.host%2Flearning%2Fcore%2Factivitydetails%2FViewActivityDetails%3FUserMode%3D0%26ActivityId%3D125492%26ClassUnderStruct%3DFalse%26CallerUrl%3D%2Flearning%2Flearner%2FHome%2FGoToPortal%3Fkey%3D0%26SearchCallerURL%3Dhttps%253A%252F%252FJETPROPLAB.sumtotal.host%252Fcore%252FsearchRedirect%253FViewType%253DList%2526SearchText%253DOS101%2526startRow%253D0%26SearchCallerID%3D2
"May. 28, 2024",N/A,TOPST,Virtual,OLS Nebula Program,Irene Ramos,External (TOPST),N/A,#
"May. 29, 2024",1:00 PM - 4:00 PM (Pacific),"Open Science Module 4 Training, JPL Internal","Jet Propulsion Laboratory, 167-151, Pasadena, CA",OS101 Module 4,JPL TOPS Team,JPL (Internal Only),Register Now,https://jetproplab.sumtotal.host/rcore/c/pillarRedirect?isDeepLink=1&relyingParty=LM&url=https%3A%2F%2FJETPROPLAB.sumtotal.host%2Flearning%2Fcore%2Factivitydetails%2FViewActivityDetails%3FUserMode%3D0%26ActivityId%3D125492%26ClassUnderStruct%3DFalse%26CallerUrl%3D%2Flearning%2Flearner%2FHome%2FGoToPortal%3Fkey%3D0%26SearchCallerURL%3Dhttps%253A%252F%252FJETPROPLAB.sumtotal.host%252Fcore%252FsearchRedirect%253FViewType%253DList%2526SearchText%253DOS101%2526startRow%253D0%26SearchCallerID%3D2
"Mondays, Jun. 10 - Jul. 15, 2024",1:00 PM - 4:00 PM (Pacific),"Open Science Training for Interns (Monday Cohort), JPL Internal","Jet Propulsion Laboratory, 183-328, Pasadena, CA","OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5",JPL TOPS Team,JPL (Internal Only),Register Now,https://docs.google.com/forms/d/e/1FAIpQLSeAJMP8vXSOsRx9ydb5IT8KAX0C1beQnQucDkgsp_xiNbVrJw/viewform?usp=sf_link
"Thursdays, Jun. 13 - Jul. 18, 2024",9:00 AM - 12:00 PM (Pacific),"Open Science Training for Interns (Thursday Cohort), JPL Internal","Jet Propulsion Laboratory, 183-343, Pasadena, CA","OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5",JPL TOPS Team,JPL (Internal Only),Register Now,https://docs.google.com/forms/d/e/1FAIpQLSeAJMP8vXSOsRx9ydb5IT8KAX0C1beQnQucDkgsp_xiNbVrJw/viewform?usp=sf_link
"Jun. 21, 2024",9:00 AM - 11:00 AM (Central),TOPS Champions Summer Workshop,Virtual,OS101 Module 2,"Genevieve Vigil, NASA; Teresa Miller, NASA",External (NASA),Register Now,https://docs.google.com/forms/d/e/1FAIpQLSdFuqK52d247U5vkt-3_SiXPytbDbaSRK_xnEER5LbmRSmESQ/viewform
"Jun. 21 & 28, 2024",11:00 AM - 2:00 PM (Eastern),"TOPST Virtual Cohort, Cohort 1",Virtual,"OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5","Cameron Riddell, Don't Use This Code (DUTC)",External (TOPST),Register Now,https://docs.google.com/forms/d/e/1FAIpQLScAoOQ9hOFRxNpDU5LGWAmyETaQvUC_qSB_9vISnSqzMW3hPQ/viewform
"Jun. 28, 2024",9:00 AM - 11:00 AM (Central),TOPS Champions Summer Workshop,Virtual,OS101 Module 3,"Genevieve Vigil, NASA; Adam Kobelski, NASA",External (NASA),Register Now,https://docs.google.com/forms/d/e/1FAIpQLScMzvXXUvO7LmLENgYHR4vHCik8egO1jMjcAVMBPoYukPEZ9Q/viewform
"Jul. 8, 2024",8:00 AM -12:00 PM (Pacific),"Tutorial, ScienceCore","Tacoma Convention Center, Tacoma, WA",Determining Climate Risks with NASA Earthdata Cloud,"Dhavide Aruliah, 2i2c; Patricia A. Loto, Metadocencia; Karthik Venkataramani",External (ScienceCore),Registration Information,https://cfp.scipy.org/2024/talk/3DVH7S/
